id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
LBSSA06,2024-10-01,2024-10-01,Labor Force Participation Rate for California,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,21,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA06
LBSSA01,2024-10-01,2024-10-01,Labor Force Participation Rate for Alabama,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA01
LBSSA36,2024-10-01,2024-10-01,Labor Force Participation Rate for New York,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,23,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA36
LBSSA26,2024-10-01,2024-10-01,Labor Force Participation Rate for Michigan,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,22,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA26
LBSSA28,2024-10-01,2024-10-01,Labor Force Participation Rate for Mississippi,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:02-05:00,21,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA28
LBSSA48,2024-10-01,2024-10-01,Labor Force Participation Rate for Texas,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,20,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA48
LBSSA12,2024-10-01,2024-10-01,Labor Force Participation Rate for Florida,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,20,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA12
LBSSA21,2024-10-01,2024-10-01,Labor Force Participation Rate for Kentucky,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,20,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA21
LBSSA39,2024-10-01,2024-10-01,Labor Force Participation Rate for Ohio,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:09-05:00,14,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA39
LBSSA55,2024-10-01,2024-10-01,Labor Force Participation Rate for Wisconsin,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:03-05:00,18,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA55
LBSSA42,2024-10-01,2024-10-01,Labor Force Participation Rate for Pennsylvania,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,17,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA42
LBSSA25,2024-10-01,2024-10-01,Labor Force Participation Rate for Massachusetts,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:10-05:00,17,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA25
LBSSA54,2024-10-01,2024-10-01,Labor Force Participation Rate for West Virginia,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA54
LBSSA27,2024-10-01,2024-10-01,Labor Force Participation Rate for Minnesota,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA27
LBSSA47,2024-10-01,2024-10-01,Labor Force Participation Rate for Tennessee,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA47
LBSSA24,2024-10-01,2024-10-01,Labor Force Participation Rate for Maryland,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA24
LBSSA23,2024-10-01,2024-10-01,Labor Force Participation Rate for Maine,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,16,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA23
LBSSA37,2024-10-01,2024-10-01,Labor Force Participation Rate for North Carolina,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,15,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA37
LBSSA17,2024-10-01,2024-10-01,Labor Force Participation Rate for Illinois,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,15,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA17
LBSSA22,2024-10-01,2024-10-01,Labor Force Participation Rate for Louisiana,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA22
LBSSA13,2024-10-01,2024-10-01,Labor Force Participation Rate for Georgia,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA13
LBSSA45,2024-10-01,2024-10-01,Labor Force Participation Rate for South Carolina,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:14-05:00,9,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA45
LBSSA08,2024-10-01,2024-10-01,Labor Force Participation Rate for Colorado,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:12-05:00,8,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA08
LBSSA49,2024-10-01,2024-10-01,Labor Force Participation Rate for Utah,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:07-05:00,15,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA49
LBSSA51,2024-10-01,2024-10-01,Labor Force Participation Rate for Virginia,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:05-05:00,15,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA51
LBSSA18,2024-10-01,2024-10-01,Labor Force Participation Rate for Indiana,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,14,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA18
LBSSA29,2024-10-01,2024-10-01,Labor Force Participation Rate for Missouri,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:10-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA29
LBSSA34,2024-10-01,2024-10-01,Labor Force Participation Rate for New Jersey,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:06-05:00,13,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA34
LBSSA19,2024-10-01,2024-10-01,Labor Force Participation Rate for Iowa,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:11-05:00,11,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA19
LBSSA02,2024-10-01,2024-10-01,Labor Force Participation Rate for Alaska,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:12-05:00,10,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA02
LBSSA53,2024-10-01,2024-10-01,Labor Force Participation Rate for Washington,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:13-05:00,4,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA53
LBSSA04,2024-10-01,2024-10-01,Labor Force Participation Rate for Arizona,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:10-05:00,11,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA04
LBSSA35,2024-10-01,2024-10-01,Labor Force Participation Rate for New Mexico,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:12-05:00,10,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA35
LBSSA16,2024-10-01,2024-10-01,Labor Force Participation Rate for Idaho,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:12-05:00,9,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA16
LBSSA05,2024-10-01,2024-10-01,Labor Force Participation Rate for Arkansas,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:15-05:00,6,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA05
LBSSA40,2024-10-01,2024-10-01,Labor Force Participation Rate for Oklahoma,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:10-05:00,10,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA40
LBSSA31,2024-10-01,2024-10-01,Labor Force Participation Rate for Nebraska,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:12-05:00,9,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA31
LBSSA15,2024-10-01,2024-10-01,Labor Force Participation Rate for Hawaii,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:23-05:00,4,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA15
LBSSA32,2024-10-01,2024-10-01,Labor Force Participation Rate for Nevada,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:23-05:00,2,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA32
LBSSA30,2024-10-01,2024-10-01,Labor Force Participation Rate for Montana,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:12-05:00,9,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA30
LBSSA41,2024-10-01,2024-10-01,Labor Force Participation Rate for Oregon,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:11-05:00,9,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA41
LBSSA33,2024-10-01,2024-10-01,Labor Force Participation Rate for New Hampshire,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:13-05:00,6,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA33
LBSSA50,2024-10-01,2024-10-01,Labor Force Participation Rate for Vermont,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:18-05:00,4,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA50
LBSSA09,2024-10-01,2024-10-01,Labor Force Participation Rate for Connecticut,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:14-05:00,6,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA09
LBSSA38,2024-10-01,2024-10-01,Labor Force Participation Rate for North Dakota,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:16-05:00,6,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA38
LBSSA46,2024-10-01,2024-10-01,Labor Force Participation Rate for South Dakota,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:13-05:00,6,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA46
LBSSA20,2024-10-01,2024-10-01,Labor Force Participation Rate for Kansas,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:13-05:00,6,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA20
LBSSA11,2024-10-01,2024-10-01,Labor Force Participation Rate for District Of Columbia,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:23-05:00,3,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA11
LBSSA44,2024-10-01,2024-10-01,Labor Force Participation Rate for Rhode Island,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:18-05:00,3,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA44
LBSSA10,2024-10-01,2024-10-01,Labor Force Participation Rate for Delaware,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:18-05:00,1,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA10
LBSSA56,2024-10-01,2024-10-01,Labor Force Participation Rate for Wyoming,1976-01-01,2024-08-01,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-09-20 09:01:16-05:00,4,A state's labor-force participation rate is the number of all employed and unemployed workers divided against the state's civilian population.  Differences between monthly seasonally-adjusted and not-seasonally-adjusted labor force participation rates are determined by the seasonal components of the LAUS labor force levels.  The not seasonally adjusted version of this time series is LBSNSA56
